0,1,2,3,4,5,6,7,8,9,10,11
경상남도양산시청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상남도의령군청,1. 기관소개,2. 정보목록 : 없음,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상남도진주시청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상남도창녕군청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상남도창원시청,1. 기관소개,2. 정보목록 : 없음,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 3명,6. 기타,,,,,
경상남도통영시청,1. 기관소개,2. 정보목록,3. 보유기록물 목록,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상남도하동군청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상남도함안군청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상남도함양군청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상남도합천군청,1. 기관소개,2. 정보목록 : 없음,3. 보유기록물 목록,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도청,1. 기관소개,2. 정보목록,3. 보유기록물 목록,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 3명,6. 기타,,,,,
경상북도경산시청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도경주시청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도고령군청,1. 기관소개,2. 정보목록 : 없음,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도구미시청,1. 기관소개,2. 정보목록 : 없음,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도군위군청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도김천시청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도문경시청,1. 기관소개,2. 정보목록 : 없음,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도봉화군청,1. 기관소개,2. 정보목록 : 없음,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도상주시청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도성주군청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도안동시청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도영덕군청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도영양군청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도영주시청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도영천시청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도예천군청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도울릉군청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도울진군청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도의성군청,1. 기관소개,2. 정보목록 : 없음,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도청도군청,1. 기관소개,2. 정보목록 : 없음,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도청송군청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도칠곡군청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경상북도포항시청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
광주광역시청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
광주광역시광산구청,1. 기관소개,2. 정보목록 : 없음,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
광주광역시남구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
광주광역시동구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
광주광역시북구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
광주광역시서구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대구광역시청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 3명,6. 기타,,,,,
대구광역시남구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대구광역시달서구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음 ,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대구광역시달성군청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대구광역시동구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대구광역시북구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대구광역시서구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대구광역시수성구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대구광역시중구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대전광역시청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 2명,6. 기타,,,,,
대전광역시대덕구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대전광역시동구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대전광역시서구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대전광역시유성구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대전광역시중구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
부산광역시청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 4명,6. 기타,,,,,
부산광역시강서구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
부산광역시금정구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 2명,6. 기타,,,,,
부산광역시기장군청,1. 기관소개,2. 정보목록 : 없음,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
부산광역시남구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
부산광역시동구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
부산광역시동래구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
부산광역시부산진구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
부산광역시북구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
부산광역시사상구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
부산광역시사하구청,1. 기관소개,2. 정보목록,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
부산광역시서구청,1. 기관소개,2. 정보목록 : 없음,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
부산광역시수영구청,1. 기관소개,2. 정보목록 : 없음,3. 보유기록물 목록 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
부산광역시연제구청,1. 기관소개,2. 정보목록 : https://www.open.go.kr/othicInfo/infoList/orginlInfoList.do,3. 보유기록물 현황 :https://www.yeonje.go.kr/portal/contents.do?mId=0405020000,4. 기록관 홈페이지 링크 : https://www.yeonje.go.kr/portal/contents.do?mId=0405010000,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
부산광역시영도구청,1. 기관소개 :부산광역시 영도구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록 :,3. 보유기록물 현황 :https://www.yeongdo.go.kr/00000/00007/00008.web?gcode=1025&idx=152619&amode=view&sstring=%EB%AA%A9%EB%A1%9D&stype=title&cpage=1,4. 기록관 홈페이지 링크 :https://www.yeongdo.go.kr/00000/00363/00365.web,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타 :,,,,,
부산광역시중구청,1. 기관소개 :부산광역시 중구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
부산광역시해운대구청,1. 기관소개 :부산광역시 해운대구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록:없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시청,1. 기관소개 :서울특별시의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록: ,4. 기록관 홈페이지 링크: 없음,5. 기록물관리전문요원 배치 인원 : 10명,6. 기타,,,,,
서울역사박물관,1. 아카이브 소개,2. 정보목록 : 없음,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 0명,6. 기타,,,,,
서울특별시강남구청,1. 기관소개 :서울특별시 강남구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록: 없음,4. 기록관 홈페이지 링크: 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시강동구청,1. 기관소개 :서울특별시 강동구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록:없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시강북구청,1. 기관소개 :서울특별시 강북구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록:없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시강서구청,1. 기관소개 :서울특별시 강서구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록:없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시관악구청,1. 기관소개 :서울특별시 관악구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록:없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시광진구청,1. 기관소개 :서울특별시 광진구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록:없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시구로구청,1. 기관소개 :서울특별시 구로구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시금천구청,1. 기관소개 :서울특별시 금천구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :https://www.geumcheon.go.kr/portal/selectBbsNttList.do?bbsNo=150120&key=2220,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시노원구청,1. 기관소개 :서울특별시 노원구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :https://www.geumcheon.go.kr/portal/selectBbsNttList.do?bbsNo=150120&key=2220,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시도봉구청,1. 기관소개 :서울특별시 도봉구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 https://www.dobong.go.kr/Contents.asp?code=10004167,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시동대문구청,1. 기관소개 :서울특별시 동대문구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 https://www.dobong.go.kr/Contents.asp?code=10004167,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시동작구청,1. 기관소개 :서울특별시 동작구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 http://www.dongjak.go.kr/portal/main/contents.do?menuNo=200741,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시마포구청,1. 기관소개 :서울특별시 마포구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 https://www.mapo.go.kr/site/main/board/infoopen/list,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시서대문구청,1. 기관소개 :서울특별시 서대문구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시서초구청,1. 기관소개 :서울특별시 서초구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시성동구청,1. 기관소개 :서울특별시 도봉구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시성북구청,1. 기관소개 :서울특별시 성북구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록: 없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시송파구청,1. 기관소개 :서울특별시 송파구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시영등포구청,1. 기관소개 :서울특별시 영등포구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시용산구청,1. 기관소개 :서울특별시 용산구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시은평구청,1. 기관소개 :서울특별시 은평구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시종로구청,1. 기관소개 :서울특별시 종로구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시양천구청,1. 기관소개 :서울특별시  양천구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크: 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시중구청,1. 기관소개 :서울특별시 중구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울특별시중랑구청,1. 기관소개 :서울특별시 중랑구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
울산광역시청,1. 기관소개 :울산광역시의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크: 없음,5. 기록물관리전문요원 배치 인원 : 1명,,,,,,
울산광역시남구청,1. 기관소개 :울산광역시 남구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
울산광역시동구청,1. 기관소개 :울산광역시 동구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
울산광역시북구청,1. 기관소개 :울산광역시 북구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
울산광역시울주군청,1. 기관소개 :울산광역시 울주군청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
울산광역시중구청,1. 기관소개 :울산광역시 중구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
인천광역시청,1. 기관소개 :인천광역시의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :https://www.ganghwa.go.kr/open_content/main/open_info/admin/opendata.jsp,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
인천광역시강화군청,1. 기관소개 :인천광역시 강화군청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :https://www.ganghwa.go.kr/open_content/main/open_info/admin/opendata.jsp,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
인천광역시계양구청,1. 기관소개 :인천광역시 계양구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :https://www.gyeyang.go.kr/open_content/main/open_info/open/data_list.jsp,4. 기록관 홈페이지 링크: 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
인천광역시미추홀구청,1. 기관소개 :인천광역시 미추홀구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크: 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
인천광역시남동구청,1. 기관소개 :인천광역시 남동구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크: 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
인천광역시동구청,1. 기관소개 :인천광역시 동구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크: 없음,5. 기록물관리전문요원 배치 인원 : 0명(미배치),6. 기타,,,,,
인천광역시부평구청,1. 기관소개 :인천광역시 부평구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :https://www.icbp.go.kr/main/administration/public/public_list.jsp,4. 기록관 홈페이지 링크: 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
인천광역시서구청,1. 기관소개 :인천광역시 서구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크: 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
인천광역시연수구청,1. 기관소개 :인천광역시 연수구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
인천광역시옹진군청,1. 기관소개 :인천광역시 웅진구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크: 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
인천광역시중구청,1. 기관소개 :인천광역시 중구청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크 :없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
전라남도청,1. 기관소개 : 전라남도의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록 :,3. 보유기록물 현황 :,4. 기록관 홈페이지 링크 :,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타 :,,,,,
전라남도강진군청,1. 기관소개 :전라남도 강진군청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크: 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
전라남도고흥군청,1. 기관소개 :전라남도 고흥군청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크: 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
전라남도곡성군청,1. 기관소개 :,2. 정보목록 :,3. 보유기록물 현황 :,4. 기록관 홈페이지 링크 :,5. 기록물관리전문요원 배치 인원 : 0명,6. 기타 :,,,,,
전라남도광양시청,1. 기관소개 :전라남도 광양시청의 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크: 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
전라남도구례군청,1. 기관소개 :전라남도 구례군청 행정 및 민원 등의 업무를 총괄하는 기관이다.,2. 정보목록,3. 보유기록물 목록 :없음,4. 기록관 홈페이지 링크: 없음,5. 기록물관리전문요원 배치 인원 : 2명,6. 기타,,,,,
