0,1,2,3,4,5,6,7,8,9,10,11
전주지방검찰청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
제주지방검찰청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울지방경찰청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
인천지방경찰청,1. 기관소개,2. 정보목록 ,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대구지방경찰청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음 ,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
광주지방경찰청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
대전지방경찰청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
울산지방경찰청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경기남부지방경찰청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경기북부지방경찰청,1. 기관소개,2. 정보목록 : 없음 ,3. 보유기록물 현황 : 없음 ,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
강원지방경찰청,1. 기관소개,2. 정보목록 ,3. 보유기록물 현황 : 없음 ,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 0명,6. 기타,,,,,
충남지방경찰청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음 ,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
충북지방경찰청,1. 기관소개,2. 정보목록,3. 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
경남지방경찰청,1. 기관소개,2. 정보목록 : 없음,3. 보유기록물 현황 : 없음 ,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
경북지방경찰청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
전남지방경찰청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음 ,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
전북지방경찰청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울지방병무청,1. 기관소개,2. 정보목록 : 없음,3. 서울지방병무청 기록관 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
부산지방경찰청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
세종특별자치시지방경찰청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 0명,6. 기타,,,,,
부산지방병무청,1. 기관소개,2. 정보목록 : 없음,3. 부산지방병무청 기록관 운영 및 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대구경북지방병무청,1. 기관소개,2. 정보목록 : 없음,3. 대구경북지방병무청 기록관 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경인지방병무청,1. 기관소개,2. 정보목록 : 없음 ,3. 경인지방병무청 기록관 보유기록물 현황 ,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
강원지방병무청,1. 기관소개,2. 정보목록 : 없음 ,3. 강원지방병무청 기록관 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
경남지방병무청,1. 기관소개,2. 정보목록 : 없음 ,3. 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
