기관유형,기관명,설명
중앙행정기관,국가보훈처,"1. 기관소개<br>국가보훈처는 국가유공자의 예우시책과 참전군인 및 제대군인 지원사업을 시행하는 국무총리 산하의 중앙행정기관이다.<br>2. 정보목록<br>https://www.mpva.go.kr/mpva/info/opendoc01List.do<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 1명<br>6. 기타<br> 1) 국가보훈처 기록관 운영규정<br>http://www.law.go.kr/행정규칙/국가보훈처기록관운영규정/(1197,20180102)"
중앙행정기관,식품의약품안전처,"1. 기관소개<br>식품의약품안전처는 식품과 건강기능식품·의약품·마약류·화장품·의약외품·의료기기 등의 안전에 관한 사무를 관장하는 대한민국의 중앙행정기관이다.<br>2. 정보목록<br>https://www.mfds.go.kr/brd/m_24/view.do?seq=47553&srchFr=&srchTo=&srchWord=정보목록&srchTp=0&itm_seq_1=0&itm_seq_2=0&multi_itm_seq=0&company_cd=&company_nm=&Data_stts_gubun=C9999&page=1<br>3. 식품의약품안전처 보유기록물 목록<br>https://www.mfds.go.kr/brd/m_18/view.do?seq=47456<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 18명<br>6. 기타<br> 1) 식품의약품안전처 기록관 운영 규정<br>http://www.law.go.kr/행정규칙/식품의약품안전처기록관운영규정/(15,20130405)"
중앙행정기관,국세청,"1. 기관소개<br>국세청은 내국세의 부과·감면 및 징수에 관한 사무를 관장하는 기획재정부의 외청인 중앙행정기관이다.<br>2. 정보목록<br>https://www.nts.go.kr/openinfo/openinfo_01_02.asp<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>6. 기타<br> 1) 국세청 기록관운영규정<br>http://www.law.go.kr/행정규칙/국세청기록관운영규정/(1721,20090326)<br> 2) 국세청 기록관리기준표<br>http://www.law.go.kr/행정규칙/2012년도국세청기록관리기준표/(2012-9,20120328)"
중앙행정기관,관세청 관세기록관,"1. 기관소개<br>관세청은 관세의 부과·감면·징수와 수출입물품의 통관 및 밀수 단속에 관한 사무를 관장하는 대한민국의 중앙행정기관이다.<br>2. 정보목록<br>https://www.customs.go.kr/kcs/na/ntt/selectNttList.do?mi=3072&bbsId=1404<br>3. 관세청 관세기록관 보유 자료 목록<br>https://www.customs.go.kr/kcs/na/ntt/selectNttInfo.do?mi=10260&nttSn=10053863<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>6. 기타<br> 1) 관세청 기록관 운영에 관한 훈령<br>http://www.law.go.kr/행정규칙/관세청기록관운영에관한훈령/(1756,20150818)<br> 2) 관세청 기록관리기준표<br>http://www.law.go.kr/행정규칙/2013년관세청기록관리기준표/(2014-2,20140108)"
중앙행정기관,조달청,"1. 기관소개<br>조달청은 정부가 행하는 물자의 구매·공급 및 관리에 관한 사무와 정부의 주요 시설공사 계약에 관한 사무를 관장하는 중앙행정기관으로 기획재정부 산하의 외청이다.<br>2. 정보목록<br>http://www.pps.go.kr/kor/jsp/offerData/data_open/openData03/openData03.pps<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 1명<br>6. 기타<br> 1) 조달청 기록관 운영규정<br>http://www.law.go.kr/행정규칙/조달청기록관운영규정/(1749,20160722)<br> 2) 조달청 기록관리기준표<br>http://www.law.go.kr/행정규칙/조달청기록관리기준표/(2014-9,20140423)"
중앙행정기관,통계청,"1. 기관소개<br>통계청은 통계의 기준설정과 인구조사, 각종 통계에 관한 사무를 관장하는 기획재정부 산하 외청(外廳)이다.<br>2. 정보목록<br>http://kostat.go.kr/portal/korea/kor_ip/1/1/index.action<br>3. 통계청 기록관 보유 기록물 목록<br>http://kostat.go.kr/portal/korea/kor_ip/4/5/6/index.board?bmode=read&bSeq=&aSeq=365399&pageNo=1&rowNum=10&navCount=10&currPg=&searchInfo=&sTarget=title&sTxt=<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 5명<br>6. 기타<br> 1) 통계청 기록관 운영규정<br>http://www.law.go.kr/행정규칙/통계청기록관운영규정/(233,20191223)<br> 2) 통계청 기록관리기준표<br>http://www.law.go.kr/행정규칙/통계청2020년기록관리기준표고시/(2020-53,20200311)"
중앙행정기관,대검찰청 국가형사사법기록관,"1. 기록관소개<br>중요 검찰 기록물을 과학적, 체계적으로 보존 관리하는 전문 시설을 갖춘 대검찰청 특수기관이다. 2012년 10월에 건립이 확정되었으며, 2015년 8월부터 2017년 11월까지 건축 공사를 하였고, 2018년까지 보존처리 시설, 장비, 시스템이 도입되었다. 2017년 12월 27일에 ""국가형사사법기록관"" 명칭이 확정되었고, 2018년 11월 15일에 개관하였다.<br>2. 정보목록<br>https://www.spo.go.kr/site/spo/ex/board/List.do?cbIdx=10710<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 <br>https://www.spo.go.kr/site/spo/06/10613010000002019093006.jsp<br>5. 기록물관리전문요원 배치 인원 : 6명<br>6. 기타<br> 1) 기록관 견학안내 및 신청<br>https://www.spo.go.kr/site/spo/06/10613020000002019093006.jsp<br> 2) 검찰청 기록관 운영규정<br>https://www.spo.go.kr/site/spo/ex/announce/AnnounceInfo.do?siteCd=spo&infoId=500&infoSeq=10&infoGubun=total&seqId=667739<br> 3) 국가형사사법기록관 청사관리규정<br>https://www.spo.go.kr/site/spo/ex/announce/AnnounceInfo.do?siteCd=spo&infoId=500&infoSeq=10&infoGubun=total&seqId=678239"
중앙행정기관,병무청,"1. 기관소개<br>병무청은 국가의 병무행정을 관장하는 국방부의 외청이다.<br>2. 정보목록<br>https://open.mma.go.kr/caisGGGS/board/openList.do?menu_id=mma0000047&gesipan_id=72<br>3. 병무청 기록관 기록물 보유 현황<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=18&gsgeul_no=1502813&menu_id=&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=기록&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 4명<br>6. 기타<br> 1) 병무청 기록관 운영규정<br>http://www.law.go.kr/행정규칙/병무청기록관운영규정/(1696,20200609)<br> 2) 병무청 기록관리기준표<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=18&gsgeul_no=1503152&menu_id=&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=기록&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2="
중앙행정기관,방위사업청,"1. 기관소개<br>방위사업청은 방위력 개선사업, 군수품 조달 및 방위산업 육성에 관한 사업을 관장하는 국방부 산하 중앙 행정기관이다.<br>2. 정보목록<br>http://www.dapa.go.kr/dapa/sub.do?menuId=540<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 2명<br>*기록관리 업무 담당자 : 5명<br>6. 기타<br> 1) 기록물 관리 규정<br>http://www.law.go.kr/행정규칙/기록물관리규정/(612,20200707)"
중앙행정기관,경찰청,"1. 기관소개<br>경찰청은 치안경찰에 관한 사무를 총괄하기 위하여 행정안전부장관 소속 아래에 둔 중앙경찰기관이다.<br>2. 정보목록<br>https://www.police.go.kr/user/bbs/BD_selectBbsList.do?q_bbsCode=1020<br>3. 경찰청 기록물정보목록<br>https://www.police.go.kr/files/B0000026/201403/BBS_201403100401134241.xls<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 2명<br>6. 기타<br> 1) 경찰청 특수기록관 운영규칙<br>http://www.law.go.kr/행정규칙/경찰청특수기록관운영규칙/(952,20190926)"
